Data Type,Book,Chapter,Number of Verses or Mishnahs,,Books,,
Bible,Jeremiah,52,34,,,,
Bible,Ezekiel,1,28,,,,
Bible,Ezekiel,2,10,,,,
Bible,Ezekiel,3,27,,,,
Bible,Ezekiel,4,17,,,,
Bible,Ezekiel,5,17,,,,
Bible,Ezekiel,6,14,,,,
Bible,Ezekiel,7,27,,,,
Bible,Ezekiel,8,18,,,,
Bible,Ezekiel,9,11,,,,
Bible,Ezekiel,10,22,,,,
Bible,Ezekiel,11,25,,,,
Bible,Ezekiel,12,28,,,,
Bible,Ezekiel,13,23,,,,
Bible,Ezekiel,14,23,,,,
Bible,Ezekiel,15,8,,,,
Bible,Ezekiel,16,63,,,,
Bible,Ezekiel,17,24,,,,
Bible,Ezekiel,18,32,,,,
Bible,Ezekiel,19,14,,,,
Bible,Ezekiel,20,44,,,,
Bible,Ezekiel,21,37,,,,
Bible,Ezekiel,22,31,,,,
Bible,Ezekiel,23,49,,,,
Bible,Ezekiel,24,27,,,,
Bible,Ezekiel,25,17,,,,
Bible,Ezekiel,26,21,,,,
Bible,Ezekiel,27,36,,,,
Bible,Ezekiel,28,26,,,,
Bible,Ezekiel,29,21,,,,
Bible,Ezekiel,30,26,,,,
Bible,Ezekiel,31,18,,,,
Bible,Ezekiel,32,32,,,,
Bible,Ezekiel,33,33,,,,
Bible,Ezekiel,34,31,,,,
Bible,Ezekiel,35,15,,,,
Bible,Ezekiel,36,38,,,,
Bible,Ezekiel,37,28,,,,
Bible,Ezekiel,38,23,,,,
Bible,Ezekiel,39,29,,,,
Bible,Ezekiel,40,49,,,,
Bible,Ezekiel,41,26,,,,
Bible,Ezekiel,42,20,,,,
Bible,Ezekiel,43,27,,,,
Bible,Ezekiel,44,31,,,,
Bible,Ezekiel,45,25,,,,
Bible,Ezekiel,46,24,,,,
Bible,Ezekiel,47,23,,,,
Bible,Ezekiel,48,35,,,,
Bible,Hosea,1,9,,,,
Bible,Hosea,2,25,,,,
Bible,Hosea,3,5,,,,
Bible,Hosea,4,19,,,,
Bible,Hosea,5,15,,,,
Bible,Hosea,6,11,,,,
Bible,Hosea,7,16,,,,
Bible,Hosea,8,14,,,,
Bible,Hosea,9,17,,,,
Bible,Hosea,10,15,,,,
Bible,Hosea,11,11,,,,
Bible,Hosea,12,15,,,,
Bible,Hosea,13,15,,,,
Bible,Hosea,14,10,,,,
Bible,Joel,1,20,,,,
Bible,Joel,2,27,,,,
Bible,Joel,3,5,,,,
Bible,Joel,4,21,,,,
Bible,Amos,1,15,,,,
Bible,Amos,2,16,,,,
Bible,Amos,3,15,,,,
Bible,Amos,4,13,,,,
Bible,Amos,5,27,,,,
Bible,Amos,6,14,,,,
Bible,Amos,7,17,,,,
Bible,Amos,8,14,,,,
Bible,Amos,9,15,,,,
Bible,Obadiah,1,21,,,,
Bible,Jonah,1,16,,,,
Bible,Jonah,2,11,,,,
Bible,Jonah,3,10,,,,
Bible,Jonah,4,11,,,,
Bible,Micah,1,16,,,,
Bible,Micah,2,13,,,,
Bible,Micah,3,12,,,,
Bible,Micah,4,14,,,,
Bible,Micah,5,14,,,,
Bible,Micah,6,16,,,,
Bible,Micah,7,20,,,,
Bible,Nahum,1,14,,,,
Bible,Nahum,2,14,,,,
Bible,Nahum,3,19,,,,
Bible,Habakkuk,1,17,,,,
Bible,Habakkuk,2,20,,,,
Bible,Habakkuk,3,19,,,,
Bible,Zephaniah,1,18,,,,
Bible,Zephaniah,2,15,,,,
Bible,Zephaniah,3,20,,,,
Bible,Haggai,1,15,,,,
Bible,Haggai,2,23,,,,
Bible,Zechariah,1,17,,,,
Bible,Zechariah,2,17,,,,
Bible,Zechariah,3,10,,,,
Bible,Zechariah,4,14,,,,
Bible,Zechariah,5,11,,,,
Bible,Zechariah,6,15,,,,
Bible,Zechariah,7,14,,,,
Bible,Zechariah,8,23,,,,
Bible,Zechariah,9,17,,,,
Bible,Zechariah,10,12,,,,
Bible,Zechariah,11,17,,,,
Bible,Zechariah,12,14,,,,
Bible,Zechariah,13,9,,,,
Bible,Zechariah,14,21,,,,
Bible,Malachi,1,14,,,,
Bible,Malachi,2,17,,,,
Bible,Malachi,3,24,,,,
Bible,Psalms,1,6,,,,
Bible,Psalms,2,12,,,,
Bible,Psalms,3,9,,,,
Bible,Psalms,4,9,,,,
Bible,Psalms,5,13,,,,
Bible,Psalms,6,11,,,,
Bible,Psalms,7,18,,,,
Bible,Psalms,8,10,,,,
Bible,Psalms,9,21,,,,
Bible,Psalms,10,18,,,,
Bible,Psalms,11,7,,,,
Bible,Psalms,12,9,,,,
Bible,Psalms,13,6,,,,
Bible,Psalms,14,7,,,,
Bible,Psalms,15,5,,,,
Bible,Psalms,16,11,,,,
Bible,Psalms,17,15,,,,
Bible,Psalms,18,51,,,,
Bible,Psalms,19,15,,,,
Bible,Psalms,20,10,,,,
Bible,Psalms,21,14,,,,
Bible,Psalms,22,32,,,,
Bible,Psalms,23,6,,,,
Bible,Psalms,24,10,,,,
Bible,Psalms,25,22,,,,
Bible,Psalms,26,12,,,,
Bible,Psalms,27,14,,,,
Bible,Psalms,28,9,,,,
Bible,Psalms,29,11,,,,
Bible,Psalms,30,13,,,,
Bible,Psalms,31,25,,,,
Bible,Psalms,32,11,,,,
Bible,Psalms,33,22,,,,
Bible,Psalms,34,23,,,,
Bible,Psalms,35,28,,,,
Bible,Psalms,36,13,,,,
Bible,Psalms,37,40,,,,
Bible,Psalms,38,23,,,,
Bible,Psalms,39,14,,,,
Bible,Psalms,40,18,,,,
Bible,Psalms,41,14,,,,
Bible,Psalms,42,12,,,,
Bible,Psalms,43,5,,,,
Bible,Psalms,44,27,,,,
Bible,Psalms,45,18,,,,
Bible,Psalms,46,12,,,,
Bible,Psalms,47,10,,,,
Bible,Psalms,48,15,,,,
Bible,Psalms,49,21,,,,
Bible,Psalms,50,23,,,,
Bible,Psalms,51,21,,,,
Bible,Psalms,52,11,,,,
Bible,Psalms,53,7,,,,
Bible,Psalms,54,9,,,,
Bible,Psalms,55,24,,,,
Bible,Psalms,56,14,,,,
Bible,Psalms,57,12,,,,
Bible,Psalms,58,12,,,,
Bible,Psalms,59,18,,,,
Bible,Psalms,60,14,,,,
Bible,Psalms,61,9,,,,
Bible,Psalms,62,13,,,,
Bible,Psalms,63,12,,,,
Bible,Psalms,64,11,,,,
Bible,Psalms,65,14,,,,
Bible,Psalms,66,20,,,,
Bible,Psalms,67,8,,,,
Bible,Psalms,68,36,,,,
Bible,Psalms,69,37,,,,
Bible,Psalms,70,6,,,,
Bible,Psalms,71,24,,,,
Bible,Psalms,72,20,,,,
Bible,Psalms,73,28,,,,
Bible,Psalms,74,23,,,,
Bible,Psalms,75,11,,,,
Bible,Psalms,76,13,,,,
Bible,Psalms,77,21,,,,
Bible,Psalms,78,72,,,,
Bible,Psalms,79,13,,,,
Bible,Psalms,80,20,,,,
Bible,Psalms,81,17,,,,
Bible,Psalms,82,8,,,,
Bible,Psalms,83,19,,,,
Bible,Psalms,84,13,,,,
Bible,Psalms,85,14,,,,
Bible,Psalms,86,17,,,,
Bible,Psalms,87,7,,,,
Bible,Psalms,88,19,,,,
Bible,Psalms,89,53,,,,
Bible,Psalms,90,17,,,,
Bible,Psalms,91,16,,,,
Bible,Psalms,92,16,,,,
Bible,Psalms,93,5,,,,
Bible,Psalms,94,23,,,,
Bible,Psalms,95,11,,,,
Bible,Psalms,96,13,,,,
Bible,Psalms,97,12,,,,
Bible,Psalms,98,9,,,,
Bible,Psalms,99,9,,,,
Bible,Psalms,100,5,,,,
Bible,Psalms,101,8,,,,
Bible,Psalms,102,29,,,,
Bible,Psalms,103,22,,,,
Bible,Psalms,104,35,,,,
